01.1,Produção de lavouras temporárias
18.12-1,Impressão de material de segurança
1812-1/00,Impressão de material de segurança
18.13-0,Impressão de materiais para outros usos
1813-0/01,Impressão de material para uso publicitário
1813-0/99,Impressão de material para outros usos
18.2,Serviços de pré-impressão e acabamentos gráficos
18.21-1,Serviços de pré-impressão
1821-1/00,Serviços de pré-impressão
18.22-9,Serviços de acabamentos gráficos
1822-9/01,Serviços de encadernação e plastificação
1822-9/99,"Serviços de acabamentos gráficos, exceto encadernação e plastificação"
18.3,Reprodução de materiais gravados em qualquer suporte
18.30-0,Reprodução de materiais gravados em qualquer suporte
1830-0/01,Reprodução de som em qualquer suporte
1830-0/02,Reprodução de vídeo em qualquer suporte
1830-0/03,Reprodução de software em qualquer suporte
19.1,Coquerias
19.10-1,Coquerias
1910-1/00,Coquerias
19.2,Fabricação de produtos derivados do petróleo
19.21-7,Fabricação de produtos do refino de petróleo
1921-7/00,Fabricação de produtos do refino de petróleo
19.22-5,"Fabricação de produtos derivados do petróleo, exceto produtos do refino"
1922-5/01,Formulação de combustíveis
1922-5/02,Rerrefino de óleos lubrificantes
1922-5/99,"Fabricação de outros produtos derivados do petróleo, exceto produtos do refino"
19.3,Fabricação de biocombustíveis
19.31-4,Fabricação de álcool
1931-4/00,Fabricação de álcool
19.32-2,"Fabricação de biocombustíveis, exceto álcool"
1932-2/00,"Fabricação de biocombustíveis, exceto álcool"
20.1,Fabricação de produtos químicos inorgânicos
20.11-8,Fabricação de cloro e álcalis
2011-8/00,Fabricação de cloro e álcalis
20.12-6,Fabricação de intermediários para fertilizantes
2012-6/00,Fabricação de intermediários para fertilizantes
20.13-4,Fabricação de adubos e fertilizantes
2013-4/01,Fabricação de adubos e fertilizantes organo-minerais
2013-4/02,"Fabricação de adubos e fertilizantes, exceto organo-minerais"
20.14-2,Fabricação de gases industriais
2014-2/00,Fabricação de gases industriais
20.19-3,Fabricação de produtos químicos inorgânicos não especificados anteriormente
2019-3/01,Elaboração de combustíveis nucleares
2019-3/99,Fabricação de outros produtos químicos inorgânicos não especificados anteriormente
20.2,Fabricação de produtos químicos orgânicos
20.21-5,Fabricação de produtos petroquímicos básicos
2021-5/00,Fabricação de produtos petroquímicos básicos
20.22-3,"Fabricação de intermediários para plastificantes, resinas e fibras"
2022-3/00,"Fabricação de intermediários para plastificantes, resinas e fibras"
20.29-1,Fabricação de produtos químicos orgânicos não especificados anteriormente
2029-1/00,Fabricação de produtos químicos orgânicos não especificados anteriormente
20.3,Fabricação de resinas e elastômeros
20.31-2,Fabricação de resinas termoplásticas
2031-2/00,Fabricação de resinas termoplásticas
20.32-1,Fabricação de resinas termofixas
2032-1/00,Fabricação de resinas termofixas
20.33-9,Fabricação de elastômeros
2033-9/00,Fabricação de elastômeros
20.4,Fabricação de fibras artificiais e sintéticas
20.40-1,Fabricação de fibras artificiais e sintéticas
2040-1/00,Fabricação de fibras artificiais e sintéticas
20.5,Fabricação de defensivos agrícolas e desinfestantes domissanitários
20.51-7,Fabricação de defensivos agrícolas
2051-7/00,Fabricação de defensivos agrícolas
20.52-5,Fabricação de desinfestantes domissanitários
2052-5/00,Fabricação de desinfestantes domissanitários
20.6,"Fabricação de sabões, detergentes, produtos de limpeza, cosméticos, produtos de perfumaria e de higiene pessoal"
20.61-4,Fabricação de sabões e detergentes sintéticos
2061-4/00,Fabricação de sabões e detergentes sintéticos
20.62-2,Fabricação de produtos de limpeza e polimento
2062-2/00,Fabricação de produtos de limpeza e polimento
20.63-1,"Fabricação de cosméticos, produtos de perfumaria e de higiene pessoal"
2063-1/00,"Fabricação de cosméticos, produtos de perfumaria e de higiene pessoal"
20.7,"Fabricação de tintas, vernizes, esmaltes, lacas e produtos afins"
